DEVICE_MAC,PACKET_DIRECTION,SERVER_ADDRESS,PACKET_LENGTH,DEVICE_NAME
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,igmp.mcast.net,54,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,archive.raspberrypi.org,74,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,raspbian.raspberrypi.org,74,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,archive.raspberrypi.org,74,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,archive.raspberrypi.org,66,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,archive.raspberrypi.org,279,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,raspbian.raspberrypi.org,74,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,raspbian.raspberrypi.org,66,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_SERVER,raspbian.raspberrypi.org,282,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,archive.raspberrypi.org,176,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,raspbian.raspberrypi.org,66,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,raspbian.raspberrypi.org,211,RPi Emulated Bulb
e4:5f:01:c3:64:86,SERVER_TO_DEVICE,archive.raspberrypi.org,66,RPi Emulated Bulb
e4:5f:01:c3:64:86,USER_TO_DEVICE,192.168.4.93,52,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_USER,192.168.4.93,95,RPi Emulated Bulb
e4:5f:01:c3:64:86,USER_TO_DEVICE,192.168.4.93,53,RPi Emulated Bulb
e4:5f:01:c3:64:86,DEVICE_TO_USER,192.168.4.93,96,RPi Emulated Bulb
d0:c5:d3:90:54:73,DEVICE_TO_SERVER,224.0.0.251,46,Roomba Robot
50:8a:06:4b:c5:c7,USER_TO_DEVICE,192.168.4.1,62,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,255.255.255.255,214,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,58,Lumiman Bulb
50:8a:06:4b:c5:c7,USER_TO_DEVICE,192.168.4.1,86,Lumiman Bulb
7c:f6:66:1f:a8:b6,USER_TO_DEVICE,192.168.4.1,62,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_USER,192.168.4.1,70,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,58,HBN Plug
7c:f6:66:1f:a8:b6,USER_TO_DEVICE,192.168.4.1,86,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,255.255.255.255,214,HBN Plug
b0:73:9c:e6:9a:b9,USER_TO_DEVICE,192.168.4.1,62,Blink Mini Camera
64:16:66:49:3e:cb,USER_TO_DEVICE,192.168.4.1,62,Nest Camera
70:74:14:c0:db:f0,DEVICE_TO_SERVER,224.0.0.251,46,Rachio Sprinkler Controller
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,58,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,162.14.14.21,58,Lumiman Bulb
34:ab:95:f6:82:94,DEVICE_TO_USER,192.168.4.1,70,Ultraloq Smart Lock
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-13-235-158-83.ap-south-1.compute.amazonaws.com,58,HBN Plug
34:6f:92:1d:ba:50,USER_TO_DEVICE,192.168.4.1,62,Sensi Thermostat
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,52.224.135.238,58,Lumiman Bulb
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,224.0.0.251,46,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,58,Sensi Thermostat
34:6f:92:1d:ba:50,USER_TO_DEVICE,192.168.4.1,86,Sensi Thermostat
cc:a7:c1:62:cc:aa,DEVICE_TO_SERVER,0.0.0.0,58,Nest Smoke & CO Detector
70:74:14:c0:db:f0,DEVICE_TO_USER,192.168.4.18,54,Rachio Sprinkler Controller
24:ce:33:24:b5:cb,DEVICE_TO_USER,192.168.4.1,70,Amazon Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,162.14.14.21,58,HBN Plug
b0:73:9c:e6:9a:b9,DEVICE_TO_USER,192.168.4.18,54,Blink Mini Camera
50:8a:06:4b:c5:c7,DEVICE_TO_USER,192.168.4.1,70,Lumiman Bulb
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-3-122-134-146.eu-central-1.compute.amazonaws.com,58,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-13-235-158-83.ap-south-1.compute.amazonaws.com,58,Lumiman Bulb
70:74:14:c0:db:f0,DEVICE_TO_SERVER,all-routers.mcast.net,46,Rachio Sprinkler Controller
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-3-122-134-146.eu-central-1.compute.amazonaws.com,58,Lumiman Bulb
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,58,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,54,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,104,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,54,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,144,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,255,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,129,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,129,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,139,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,139,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,539,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,155,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,427,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,619,Sensi Thermostat
34:6f:92:1d:ba:50,SERVER_TO_DEVICE,icda.sensicomfort.com,299,Sensi Thermostat
34:6f:92:1d:ba:50,DEVICE_TO_SERVER,icda.sensicomfort.com,491,Sensi Thermostat
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,58,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,54,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,125,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,54,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,206,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,114,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,60,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,139,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,145,Lumiman Bulb
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,62,Blink Mini Camera
b0:73:9c:e6:9a:b9,DEVICE_TO_USER,192.168.4.1,70,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,58,Blink Mini Camera
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,54,Blink Mini Camera
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,146,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,54,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,140,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,1450,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,750,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,63,Blink Mini Camera
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,203,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,123,Lumiman Bulb
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,m2.tuyaus.com,58,HBN Plug
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,321,Blink Mini Camera
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,54,HBN Plug
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,60,Blink Mini Camera
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,139,Blink Mini Camera
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,125,HBN Plug
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,60,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,139,Blink Mini Camera
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,m2.tuyaus.com,54,HBN Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,m2.tuyaus.com,206,HBN Plug
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,145,Blink Mini Camera
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,114,HBN Plug
